T34,T58,T172,T160,T161,T12,T147,T113,T162,T173,T48,T281,T102,T124,T22,T318,T780,T258,T123,T11,T183,T305,T270,T23,T199,T317,T233,T9,T781,T344,T282,T293,T159,T60,T206,T100,T348,T343,T148,T197,T35,T170,T269,T111,T112,T241,T21,T193,T345,T213,T45,T59
MEG_981|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME,14.0,0,0,4.0,0,0,0,0,0,0,0,21.0,0,2.0,0,3.0,501.0,3.0,0,0,0,110.0,125.0,3.0,9.0,63.0,2.0,0,0,5.0,2.0,104.0,0,7.0,0,0,0,19.0,0,0,0,0,17.0,0,0,0,0,3.0,7.0,9.0,2.0,0
MEG_2385|Drugs|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
MEG_4929|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,4.0,0,0,0,0,0,0,0,0,2.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0
MEG_4706|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,2.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7918|Drugs|betalactams|Class_C_betalactamases|ADC,4.0,0,2.0,9.0,0,2.0,0,2.0,0,2.0,0,8.0,4.0,0,0,4.0,0,2.0,0,0,4.0,6.0,6.0,0,4.0,4.0,0,2.0,0,6.0,6.0,6.0,6.0,0,0,4.0,0,4.0,0,0,0,2.0,8.0,2.0,0,4.0,4.0,0,4.0,2.0,4.0,2.0
MEG_1767|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,0,0,2.0,7.0,2.0,2.0,4.0,4.0,0,4.0,0,10.0,2.0,0,0,4.0,0,4.0,0,0,0,6.0,2.0,2.0,0,4.0,0,0,0,6.0,9.0,10.0,6.0,0,0,2.0,2.0,8.0,0,0,0,2.0,9.0,2.0,0,0,0,2.0,0,0,0,0
MEG_414|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,6.0,4.0,2.0,11.0,2.0,4.0,6.0,4.0,0,6.0,0,8.0,6.0,0,4.0,5.0,2.0,4.0,2.0,0,2.0,8.0,14.0,2.0,0,6.0,4.0,4.0,0,6.0,5.0,4.0,10.0,2.0,0,2.0,0,12.0,0,0,2.0,2.0,26.0,3.0,0,4.0,0,0,5.0,2.0,2.0,19.0
MEG_1162|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,9.0,0,2.0,7.0,4.0,2.0,4.0,11.0,0,28.0,0,9.0,6.0,2.0,5.0,5.0,0,7.0,3.0,0,17.0,12.0,14.0,5.0,0,13.0,3.0,1.0,0,6.0,6.0,9.0,72.0,4.0,0,0,0,9.0,5.0,0,4.0,3.0,30.0,4.0,6.0,0,3.0,0,4.0,6.0,3.0,28.0
MEG_8605|Drugs|betalactams|Class_C_betalactamases|PDC,2.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,10.0,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,0,0,0,0,0,0,0
MEG_4290|Drugs|betalactams|Mutant_porin_proteins|OMPR,120.0,48.0,87.0,180.0,96.0,98.0,158.0,70.0,85.0,107.0,60.0,196.0,106.0,66.0,86.0,86.0,10.0,71.0,80.0,26.0,99.0,87.0,123.0,87.0,59.0,79.0,63.0,82.0,0,101.0,85.0,105.0,149.0,47.0,39.0,97.0,9.0,89.0,111.0,13.0,75.0,89.0,181.0,102.0,50.0,40.0,74.0,47.0,82.0,63.0,70.0,76.0
MEG_1160|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,0,0,0,0,0,0,0,2.0,0,0,0,6.0,0,0,0,0,0,4.0,0,0,6.0,6.0,8.0,0,0,2.0,0,2.0,0,0,4.0,4.0,0,0,0,0,0,4.0,0,0,0,2.0,15.0,0,0,0,2.0,0,4.0,0,2.0,0
MEG_4934|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_416|Drugs|betalactams|Class_C_betalactamases|ACT,4.0,0,0,2.0,0,0,2.0,4.0,0,0,0,4.0,2.0,0,0,4.0,0,2.0,0,0,0,6.0,2.0,0,0,4.0,0,2.0,0,2.0,4.0,2.0,6.0,2.0,0,4.0,0,5.0,0,0,0,0,8.0,2.0,0,0,4.0,0,4.0,0,0,0
MEG_6496|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,0,2.0,4.0,4.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,2.0,0,0,4.0,2.0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,0,2.0,0,2.0,0,0,0,0,2.0,0,0,0,2.0,0,0,0,0,2.0
MEG_69|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME,1.0,0,0,0,0,0,0,2.0,2.0,6.0,0,2.0,0,0,0,0,0,0,0,0,2.0,4.0,0,0,0,0,0,2.0,0,0,0,4.0,2.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,2.0,0,2.0,0,0,0
MEG_8392|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5595|Drugs|betalactams|Class_C_betalactamases|PDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
MEG_5704|Drugs|betalactams|Class_C_betalactamases|PDC,0,0,0,2.0,2.0,0,0,0,0,0,2.0,0,2.0,0,2.0,0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,0,4.0,0,0,0,0,2.0,0,0,0,0,4.0,4.0,0,0,0,0,0,0,0,2.0
MEG_7556|Drugs|Glycopeptides|VanA-type_resistance_protein|VANXA,78.0,12.0,27.0,78.0,32.0,40.0,63.0,41.0,26.0,65.0,26.0,164.0,44.0,33.0,31.0,82.0,0,61.0,31.0,4.0,54.0,96.0,105.0,29.0,32.0,104.0,22.0,37.0,2.0,92.0,72.0,131.0,97.0,18.0,12.0,41.0,2.0,84.0,32.0,4.0,23.0,41.0,161.0,68.0,30.0,22.0,53.0,16.0,62.0,21.0,49.0,39.0
MEG_7410|Drugs|Glycopeptides|VanA-type_resistance_protein|VANHA,2.0,0,2.0,6.0,0,0,0,2.0,0,4.0,0,14.0,2.0,0,0,6.0,0,0,0,0,2.0,2.0,10.0,2.0,0,4.0,2.0,0,0,10.0,0,4.0,6.0,0,0,0,0,6.0,2.0,0,0,2.0,14.0,4.0,2.0,0,2.0,0,6.0,0,2.0,2.0
MEG_5035|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,2.0,2.0,2.0,2.0,2.0,0,0,2.0,0,2.0,0,0,2.0,2.0,0,2.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,4.0,4.0,0,0,2.0,0,2.0,0,0,0,2.0,4.0,0,0,2.0,0,0,2.0,0,0,0
MEG_7083|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETH,0,0,0,2.0,0,0,0,0,0,0,0,14.0,0,0,0,6.0,2.0,2.0,0,0,0,6.0,1.0,2.0,0,3.0,0,0,0,2.0,0,10.0,2.0,2.0,0,0,0,2.0,2.0,0,0,0,8.0,0,0,0,0,0,2.0,0,0,2.0
MEG_7057|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC,6.0,0,4.0,28.0,10.0,10.0,10.0,4.0,6.0,12.0,6.0,17.0,8.0,6.0,4.0,16.0,0,4.0,2.0,4.0,8.0,18.0,20.0,4.0,10.0,16.0,0,2.0,0,10.0,10.0,26.0,18.0,8.0,2.0,4.0,0,4.0,8.0,0,4.0,8.0,26.0,2.0,6.0,0,7.0,4.0,12.0,0,3.0,6.0
MEG_6051|Drugs|betalactams|Class_A_betalactamases|RCP,49.0,18.0,36.0,50.0,32.0,29.0,57.0,30.0,16.0,53.0,14.0,88.0,34.0,22.0,25.0,52.0,2.0,38.0,19.0,2.0,42.0,54.0,77.0,21.0,30.0,50.0,16.0,27.0,0,49.0,55.0,73.0,75.0,14.0,10.0,36.0,0,49.0,24.0,0,10.0,46.0,108.0,46.0,28.0,13.0,35.0,10.0,47.0,10.0,30.0,26.0
MEG_5533|Drugs|betalactams|Class_C_betalactamases|PDC,0,0,0,0,2.0,2.0,0,0,0,0,2.0,2.0,0,0,0,0,2.0,0,0,0,2.0,0,2.0,0,0,0,0,0,0,4.0,0,2.0,0,2.0,2.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_4768|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,2.0,0,0,0,2.0,0,4.0,0,0,0,0,0,0,0,0,0,0,4.0,2.0,0,0,0,0,0,0,0,0
MEG_6620|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,29.0,0,2.0,4.0,0,2.0,2.0,0,0,1.0,0,49.0,0,2.0,0,19.0,0,4.0,0,0,0,88.0,115.0,0,0,46.0,2.0,2.0,0,16.0,15.0,97.0,0,2.0,0,2.0,0,21.0,2.0,0,0,2.0,41.0,0,0,0,2.0,0,27.0,0,4.0,2.0
MEG_8145|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,116.0,2.0,27.0,159.0,18.0,18.0,27.0,38.0,4.0,92.0,10.0,177.0,88.0,10.0,10.0,84.0,0,69.0,5.0,4.0,47.0,148.0,192.0,9.0,23.0,130.0,8.0,12.0,0,119.0,82.0,207.0,127.0,7.0,6.0,64.0,0,124.0,4.0,0,5.0,62.0,153.0,51.0,11.0,16.0,18.0,11.0,63.0,6.0,16.0,28.0
MEG_4789|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3500|Drugs|betalactams|Class_A_betalactamases|KPC,0,0,0,4.0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,2.0,0,0,2.0,0,2.0,0,0,0,0,0,0,0,2.0,0,4.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,2.0,0,2.0,0,0,0
MEG_6524|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME,110.0,30.0,54.0,136.0,60.0,79.0,126.0,88.0,54.0,121.0,57.0,189.0,86.0,49.0,84.0,123.0,9.0,106.0,69.0,14.0,101.0,122.0,161.0,55.0,72.0,110.0,45.0,72.0,0,121.0,115.0,165.0,151.0,44.0,30.0,70.0,10.0,119.0,74.0,12.0,46.0,81.0,221.0,109.0,64.0,42.0,75.0,28.0,100.0,51.0,85.0,77.0
MEG_3113|Drugs|betalactams|Class_A_betalactamases|GES,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0
MEG_1748|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|CMER,0,0,0,4.0,0,0,0,2.0,0,0,0,2.0,0,0,0,0,0,0,0,0,2.0,4.0,0,0,0,2.0,0,0,0,13.0,0,4.0,0,0,0,0,0,14.0,0,0,2.0,0,2.0,0,0,0,0,0,4.0,0,4.0,0
MEG_4221|Metals|Nickel_resistance|Nickel_resistance_regulator|NRSS,4.0,0,2.0,13.0,4.0,2.0,11.0,6.0,4.0,20.0,0,31.0,0,2.0,3.0,17.0,0,4.0,4.0,0,8.0,7.0,19.0,6.0,2.0,10.0,0,6.0,0,19.0,9.0,18.0,16.0,2.0,0,3.0,0,11.0,0,0,0,4.0,18.0,13.0,2.0,0,9.0,0,16.0,0,8.0,2.0
MEG_1671|Drugs|betalactams|Class_B_betalactamases|CFIA,0,0,2.0,2.0,2.0,0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,2.0,0,0,0,0,2.0,0,0,0,2.0,0,0,4.0,0,2.0,0,0,2.0,2.0,2.0,0,2.0,2.0,2.0,0,2.0,0,0,0,2.0,2.0,0,0,9.0
MEG_3749|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTC,48.0,15.0,48.0,78.0,49.0,48.0,121.0,379.0,34.0,560.0,36.0,216.0,80.0,35.0,46.0,98.0,409.0,121.0,90.0,8.0,148.0,122.0,175.0,50.0,30.0,101.0,69.0,36.0,0,127.0,101.0,140.0,1297.0,111.0,20.0,35.0,2.0,102.0,86.0,6.0,48.0,64.0,545.0,136.0,121.0,39.0,77.0,25.0,93.0,143.0,245.0,705.0
MEG_2208|Drugs|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,2.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_8493|Drugs|betalactams|Class_C_betalactamases|PDC,2.0,0,2.0,6.0,2.0,2.0,2.0,0,0,2.0,2.0,4.0,2.0,2.0,0,2.0,2.0,2.0,4.0,0,0,4.0,6.0,0,0,0,2.0,2.0,0,4.0,4.0,4.0,5.0,0,0,2.0,0,2.0,4.0,0,0,0,14.0,4.0,0,0,0,0,2.0,2.0,2.0,2.0
MEG_5582|Drugs|betalactams|Class_C_betalactamases|PDC,12.0,2.0,10.0,22.0,10.0,8.0,10.0,0,8.0,10.0,6.0,26.0,8.0,4.0,2.0,16.0,0,6.0,4.0,2.0,8.0,18.0,16.0,4.0,0,8.0,8.0,2.0,0,10.0,8.0,14.0,14.0,6.0,0,9.0,2.0,16.0,12.0,0,4.0,12.0,24.0,10.0,2.0,0,10.0,2.0,6.0,6.0,6.0,2.0
MEG_3956|Drugs|betalactams|Class_C_betalactamases|MIR,0,0,0,4.0,0,0,0,0,0,2.0,0,6.0,0,2.0,0,0,0,0,0,0,2.0,0,6.0,0,0,0,0,0,0,2.0,2.0,2.0,4.0,0,0,0,0,2.0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0
MEG_2830|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,0,0,2.0,9.0,0,0,0,9.0,0,9.0,0,7.0,0,0,0,0,0,5.0,0,0,2.0,2.0,8.0,0,0,3.0,1.0,0,0,6.0,6.0,9.0,32.0,0,0,0,0,19.0,2.0,0,0,2.0,24.0,2.0,0,0,2.0,1.0,6.0,0,2.0,2.0
MEG_2955|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,6.0,0,2.0,8.0,0,2.0,5.0,56.0,0,58.0,0,21.0,3.0,0,4.0,9.0,24.0,8.0,8.0,0,14.0,13.0,23.0,5.0,2.0,11.0,2.0,2.0,0,9.0,4.0,13.0,178.0,11.0,2.0,3.0,0,10.0,11.0,0,6.0,2.0,58.0,4.0,15.0,1.0,4.0,1.0,6.0,16.0,29.0,49.0
MEG_1229|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|BEXA,4.0,2.0,4.0,14.0,2.0,4.0,8.0,80.0,0,164.0,2.0,58.0,0,8.0,10.0,18.0,0,27.0,4.0,0,20.0,33.0,41.0,4.0,1.0,28.0,2.0,10.0,0,20.0,22.0,55.0,380.0,0,0,4.0,0,22.0,2.0,2.0,8.0,61.0,60.0,8.0,10.0,3.0,8.0,0,14.0,7.0,11.0,77.0
MEG_7384|Drugs|Glycopeptides|VanD-type_resistance_protein|VAND,2.0,2.0,2.0,2.0,0,0,0,2.0,2.0,2.0,0,2.0,0,0,2.0,2.0,0,0,0,0,4.0,2.0,2.0,0,0,0,0,0,0,2.0,2.0,0,6.0,0,0,0,0,2.0,0,0,0,4.0,8.0,6.0,0,0,0,0,4.0,0,2.0,2.0
MEG_4627|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,4.0,0,0,2.0,2.0,0,4.0,0,4.0,0,0,0,2.0,0,0,0,0,0,2.0,2.0,0,0,0,2.0,0,0,0,2.0,4.0,2.0,0,0,0,0,0,0,0,0,0,2.0,2.0,0,0,0,0,0,0,0,0
MEG_5994|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0
MEG_4340|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,10.0,8.0,6.0,32.0,8.0,8.0,17.0,15.0,0,16.0,4.0,53.0,4.0,6.0,6.0,20.0,0,8.0,4.0,2.0,10.0,16.0,34.0,6.0,4.0,18.0,10.0,6.0,0,22.0,21.0,30.0,40.0,2.0,2.0,8.0,0,14.0,2.0,0,4.0,18.0,62.0,4.0,2.0,6.0,19.0,0,22.0,8.0,4.0,17.0
MEG_663|Drugs|betalactams|Class_C_betalactamases|ADC,2.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,2.0,0,0,0,0,0,2.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0
MEG_853|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,2.0,0,0,0,0,2.0,0,2.0,2.0,2.0,0,0,0,2.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,3.0,0,0,0,0,2.0,2.0,0,0,2.0,2.0,0,2.0,0,2.0
MEG_2634|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0,0,0,2.0,0,2.0,4.0,2.0,0,8.0,0,8.0,0,0,0,2.0,0,2.0,0,0,2.0,6.0,6.0,2.0,6.0,4.0,0,0,0,8.0,4.0,4.0,6.0,0,0,0,0,4.0,0,0,0,0,18.0,2.0,0,2.0,2.0,0,4.0,0,2.0,0
MEG_6437|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,0,0,4.0,0,0,0,0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
MEG_755|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,0,0,2.0,2.0,0,0,2.0,2.0,0,2.0,0,0,0,2.0,2.0,0,0,0,2.0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,2.0,2.0,0,0,0,0,0,2.0,0,0,4.0,4.0,0,0,0,2.0,2.0,2.0,0,0,2.0
MEG_4136|Drugs|betalactams|Class_B_betalactamases|NDM,8.0,0,0,2.0,0,6.0,3.0,0,0,2.0,0,4.0,0,0,0,0,2.0,0,0,0,0,2.0,2.0,4.0,4.0,0,0,0,0,0,0,6.0,0,0,0,4.0,0,0,2.0,0,0,2.0,10.0,0,0,0,0,0,0,2.0,0,4.0
MEG_5487|Drugs|betalactams|Class_C_betalactamases|PDC,2.0,0,0,6.0,2.0,4.0,8.0,0,0,0,0,0,2.0,0,0,0,0,0,2.0,0,2.0,2.0,2.0,0,0,0,2.0,4.0,0,0,0,0,4.0,0,0,0,0,2.0,4.0,0,0,4.0,0,0,2.0,0,2.0,0,0,2.0,2.0,4.0
MEG_2361|Drugs|betalactams|Class_A_betalactamases|CTX,4.0,0,0,2.0,2.0,0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,2.0,10.0,4.0,8.0,2.0,0,2.0,0,2.0,0,0,8.0,4.0,2.0,0,0,4.0,0,0,4.0,0,2.0,2.0,2.0,2.0,0,0,2.0,0,2.0,0,0,0
MEG_3187|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,25.0,10.0,23.0,37.0,21.0,16.0,48.0,141.0,17.0,195.0,18.0,105.0,23.0,20.0,30.0,54.0,312.0,43.0,73.0,2.0,91.0,53.0,112.0,26.0,20.0,38.0,42.0,16.0,2.0,31.0,41.0,66.0,545.0,31.0,8.0,15.0,2.0,40.0,19.0,5.0,14.0,32.0,268.0,50.0,54.0,6.0,47.0,13.0,46.0,32.0,71.0,348.0
MEG_5690|Drugs|betalactams|Class_C_betalactamases|PDC,4.0,0,0,8.0,4.0,4.0,2.0,0,2.0,2.0,2.0,4.0,2.0,0,2.0,4.0,2.0,4.0,2.0,2.0,0,4.0,4.0,4.0,0,0,0,2.0,0,2.0,4.0,5.0,0,2.0,0,0,2.0,5.0,2.0,2.0,0,0,11.0,2.0,0,0,2.0,2.0,0,0,0,2.0
MEG_7268|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLCSM,57.0,10.0,41.0,105.0,36.0,64.0,88.0,52.0,34.0,92.0,34.0,159.0,50.0,28.0,43.0,102.0,14.0,96.0,34.0,8.0,67.0,106.0,141.0,36.0,40.0,90.0,40.0,52.0,2.0,105.0,116.0,161.0,81.0,28.0,30.0,64.0,6.0,93.0,57.0,8.0,22.0,52.0,184.0,71.0,29.0,18.0,47.0,14.0,80.0,30.0,66.0,41.0
MEG_4952|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0
MEG_6520|Biocides|Multi-biocide_resistance|Multi-biocide_ABC_efflux_pump|SMDB,127.0,41.0,98.0,209.0,89.0,98.0,192.0,141.0,83.0,184.0,91.0,299.0,129.0,83.0,104.0,162.0,45.0,187.0,91.0,23.0,151.0,162.0,242.0,95.0,95.0,156.0,91.0,89.0,2.0,198.0,181.0,222.0,277.0,52.0,41.0,83.0,10.0,164.0,107.0,23.0,62.0,121.0,326.0,151.0,83.0,54.0,133.0,51.0,153.0,77.0,101.0,158.0
MEG_5912|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,2.0,0,0,0,0,0,2.0,0,0,0,0,0,2.0,0,2.0,0,0,0,0,0,2.0,2.0,0,0,0,0,0,2.0,0,0,0,4.0,4.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0
MEG_8523|Drugs|betalactams|Class_C_betalactamases|PDC,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0,2.0,0,0,0,0,0,0,0,0,2.0,0,0,2.0,0,0,0,0,0,0,0
MEG_6368|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,2.0,0,2.0,2.0,0,2.0,0,0,2.0,0,2.0,0,2.0,0,2.0,0,0,0,0,0,0,2.0,0,0,2.0,0,0,0,0,2.0,4.0,2.0,0,0,2.0,0,0,2.0,0,2.0,2.0,2.0,2.0,0,0,0,0,2.0,0,0,0
MEG_591|Drugs|betalactams|Class_C_betalactamases|ADC,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7574|Drugs|Glycopeptides|VanC-type_resistance_protein|VANXYC,0,0,0,2.0,0,0,0,2.0,0,0,0,0,0,0,0,2.0,0,0,2.0,0,0,0,4.0,0,0,2.0,0,0,0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,2.0,2.0,0,0,0,0,0
MEG_1331|Drugs|betalactams|Class_A_betalactamases|BLAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0,0,0,0,0,0,2.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0
MEG_572|Drugs|betalactams|Class_C_betalactamases|ADC,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
MEG_8369|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,2.0,4.0,6.0,2.0,0,8.0,4.0,4.0,2.0,0,14.0,2.0,4.0,0,6.0,9.0,2.0,0,0,0,4.0,10.0,2.0,4.0,6.0,0,2.0,0,2.0,2.0,8.0,4.0,0,0,2.0,0,4.0,8.0,0,0,4.0,13.0,6.0,0,0,0,0,6.0,4.0,2.0,4.0
MEG_7170|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,50.0,0,30.0,622.0,127.0,189.0,48.0,31.0,0,176.0,0,250.0,89.0,0,22.0,89.0,0,77.0,0,0,61.0,157.0,287.0,12.0,39.0,129.0,7.0,7.0,0,73.0,79.0,208.0,97.0,4.0,2.0,214.0,0,48.0,6.0,0,0,120.0,340.0,105.0,2.0,63.0,21.0,0,66.0,2.0,56.0,14.0
MEG_5941|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0
MEG_4823|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,2.0,2.0,4.0,0,0,0,0,0,0,2.0,2.0,2.0,0,0,0,2.0,0,4.0,0,0,0,0,4.0,0,0,0,0,0,4.0,0,0,0
MEG_554|Drugs|betalactams|Class_C_betalactamases|ADC,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3215|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,4.0,0,4.0,12.0,2.0,4.0,7.0,6.0,2.0,10.0,0,26.0,4.0,0,0,8.0,0,4.0,0,0,10.0,8.0,15.0,0,4.0,9.0,0,2.0,0,10.0,7.0,20.0,23.0,0,2.0,4.0,0,10.0,2.0,0,2.0,6.0,22.0,4.0,2.0,8.0,2.0,0,3.0,2.0,2.0,0
